principal_kanonik,merek,merek_belum_dipanen,merek_teknis,situs,status_situs,jumlah_produk,resolusi_terbesar,jalan_pintas,catatan
PT. GRAHA ESA,1,1,0,,belum-diperiksa,,,,
PT. BIOJOYO TEKNOLOGI INDUSTRI,1,1,0,,belum-diperiksa,,,,
CV. LIVE ANGKASA,1,1,0,,belum-diperiksa,,,,
PT. KOIN TUNGGAL JAYA,1,1,0,,belum-diperiksa,,,,
PT. ETOS INDONUSA,1,1,0,,belum-diperiksa,,,,
CV. GRAHA FERTICON PERKASA,1,1,0,,belum-diperiksa,,,,
PT. SINAR ANTJOL,1,1,0,,belum-diperiksa,,,,
PT. NATUR AGRI TANI,1,1,0,,belum-diperiksa,,,,
PT. FADJAR AGRO SARANA,1,1,0,,belum-diperiksa,,,,
PT. WAHANA KENCANA INDONESIA,1,1,0,,belum-diperiksa,,,,
PT. TANI PERKASA KIMINDO,1,1,0,,belum-diperiksa,,,,
PT. SANDAR INTERNATIONAL,1,1,0,,belum-diperiksa,,,,
SUMBER UTAMA TANI,1,1,0,,belum-diperiksa,,,,
DAMAI SINERGI NUSANTARA,1,1,0,,belum-diperiksa,,,,
CV. Hattara Citra Argo,1,1,0,,belum-diperiksa,,,,
MAHITALA MIRA INDONESIA,1,1,0,,belum-diperiksa,,,,
PT. Dupan Anugerah Lestari,1,1,0,,belum-diperiksa,,,,
BROMO INDAH LESTARI,1,1,0,,belum-diperiksa,,,,
SAMAWA AGRO PERSADA,1,1,0,,belum-diperiksa,,,,
BASF DISTRIBUTION INDONESIA,1,1,0,,belum-diperiksa,,,,
PT. Sasco Indonesia,1,1,0,,belum-diperiksa,,,,
STELLAR AGRI INDONESIA,1,1,0,,belum-diperiksa,,,,
MANIS SPORTIF,1,1,0,,belum-diperiksa,,,,
SAWONGGALING NUSANTARA,1,1,0,,belum-diperiksa,,,,
CV. SURYA PETANI,1,1,0,,belum-diperiksa,,,,
SINERGI INTI PANEN,1,1,0,,belum-diperiksa,,,,
PT. Permata Agro Persada,1,1,0,,belum-diperiksa,,,,
FAJAR RIZQY TANI,1,1,0,,belum-diperiksa,,,,
GEMILANG BERKAH USAHA,1,1,0,,belum-diperiksa,,,,
PUTRA SHB SEJAHTERA,1,1,0,,belum-diperiksa,,,,
BERKATINDO NUSANTARA BERSINAR,1,1,0,,belum-diperiksa,,,,
CV.KWADRAN JAYA MANDIRI,1,1,0,,belum-diperiksa,,,,
BIO NUSANTARA ALAMI,1,1,0,,belum-diperiksa,,,,
BENIH ROMAN AGRO,1,1,0,,belum-diperiksa,,,,
PT. Asia Pupuk Guna Lestari,1,1,0,,belum-diperiksa,,,,
HYDRO FARM INDONESIA,1,1,0,,belum-diperiksa,,,,
CV. SAKINA AGRO INDUSTRI,1,1,0,,belum-diperiksa,,,,
PT.AGRITEK SUKSES INDONESIA,1,1,0,,belum-diperiksa,,,,
TANIKAYA MULTI AGRO,1,1,0,,belum-diperiksa,,,,
ADIDAYA NIRBATAS,1,1,0,,belum-diperiksa,,,,
PUPUK PARIT KITANG,1,1,0,,belum-diperiksa,,,,
PT SAFA AGROTEK INDONESIA,1,1,0,,belum-diperiksa,,,,
PT. AGRO AFIAT NUSANTARA,1,1,0,,belum-diperiksa,,,,
BUMI MAKMUR WIDYADHANA,1,1,0,,belum-diperiksa,,,,
RATAMA ELON PERKASA,1,1,0,,belum-diperiksa,,,,
GRAHA SIRTU,1,1,0,,belum-diperiksa,,,,
HIDUP TUMBUH BERJAYA,1,1,0,,belum-diperiksa,,,,
ULIE HOPE SO,1,1,0,,belum-diperiksa,,,,
PT.MANDIRI DASAR UTAMA,1,1,0,,belum-diperiksa,,,,
AGROMAX MAKMUR SEKAWAN,1,1,0,,belum-diperiksa,,,,
GEMA TANI ETAM,1,1,0,,belum-diperiksa,,,,
BIOTEK AGRO NUSANTARA,1,1,0,,belum-diperiksa,,,,
ASTINA MEGAH ABADI,1,1,0,,belum-diperiksa,,,,
ANAYA GLOBAL INDONESIA,1,1,0,,belum-diperiksa,,,,
CV. SUMBER MULYO SEJAHTERA,1,1,0,,belum-diperiksa,,,,
PT Agrimas Utama Indonesia,1,1,0,,belum-diperiksa,,,,
SINAR ADHIKARI ARYASATYA,1,1,0,,belum-diperiksa,,,,
CV. Bima Agung Sejahtera,1,1,0,,belum-diperiksa,,,,
LAUTAN LUAS,1,1,0,,belum-diperiksa,,,,
BERKAH ALAM NUSANTARA FERTILIZER,1,1,0,,belum-diperiksa,,,,
JANTHO MAJU TANI,1,1,0,,belum-diperiksa,,,,
PT ANUGERAH PUPUK MAKMUR,1,1,0,,belum-diperiksa,,,,
ORGANIK KARYA INDONESIA,1,1,0,,belum-diperiksa,,,,
HARMONI INCORPORATION,1,1,0,,belum-diperiksa,,,,
SURYA DUTA GREENINDO,1,1,0,,belum-diperiksa,,,,
POSCO INTERNATIONAL INDONESIA,1,1,0,,belum-diperiksa,,,,
PT. PERINTIS NIAGA INDONESIA,1,1,0,,belum-diperiksa,,,,
NUSA TANI,1,1,0,,belum-diperiksa,,,,
TOGA CIPTA FLORA,1,1,0,,belum-diperiksa,,,,
CV. DARMAPURI AGRO SEMESTA,1,1,0,,belum-diperiksa,,,,
CV. Agroxplore Indonesia,1,1,0,,belum-diperiksa,,,,
PT. Anugerah Pupuk Lestari,1,1,0,,belum-diperiksa,,,,
WILDO NATURAL INDONESIA,1,1,0,,belum-diperiksa,,,,
RIZKY AGRO MAKMUR,1,1,0,,belum-diperiksa,,,,
RUCI TANI JAYA ABADI,1,1,0,,belum-diperiksa,,,,
MESS JAYA INDONESIA,1,1,0,,belum-diperiksa,,,,
BIOCARE INDONESIA LANGGENG,1,1,0,,belum-diperiksa,,,,
JENGGONG MULYA JAYA SENTOSA,1,1,0,,belum-diperiksa,,,,
PANEN INTI NUSANTARA,1,1,0,,belum-diperiksa,,,,
SABANG MAKMUR SENTOSA,1,1,0,,belum-diperiksa,,,,
GUNUNG MAS MAHRAJA GURAH,1,1,0,,belum-diperiksa,,,,
SINERGI CATALIS INDONESIA,1,1,0,,belum-diperiksa,,,,
SOIL AGRO SOLUTION,1,1,0,,belum-diperiksa,,,,
PELITA SAWIT NUSANTARA,1,1,0,,belum-diperiksa,,,,
TANAHMERAH BERKAT BESTARI,1,1,0,,belum-diperiksa,,,,
CEMPAKA BUMI NUSANTARA,1,1,0,,belum-diperiksa,,,,
JAL SANI,1,1,0,,belum-diperiksa,,,,
ADITYA MANDIRI UTAMA,1,1,0,,belum-diperiksa,,,,
ANARD BUMI SENTOSA,1,1,0,,belum-diperiksa,,,,
JASA TAMBANG ACEH,1,1,0,,belum-diperiksa,,,,
MANDIRI SAPROTAN JAYA,1,1,0,,belum-diperiksa,,,,
PT. SINAR PERSADA JAYA,1,1,0,,belum-diperiksa,,,,
PT. Super Tani Indonesia,1,1,0,,belum-diperiksa,,,,
MINARET CROWN ENERGY INTERNATIONAL,1,1,0,,belum-diperiksa,,,,
BULAN BINTANG JAYA,1,1,0,,belum-diperiksa,,,,
COKRO JOYO MITRA TANI,1,1,0,,belum-diperiksa,,,,
PT. Barokah Pinilih Agrotama,1,1,0,,belum-diperiksa,,,,
PUPUK SWADAYA PURIMAS,1,1,0,,belum-diperiksa,,,,
FITRIINDO LITE,1,1,0,,belum-diperiksa,,,,
SUPRANUSA INDOGITA,1,1,0,,belum-diperiksa,,,,
STANLEY AGRO NUSANTARA,1,1,0,,belum-diperiksa,,,,
JAVANICA AGROSCIENCE INDONESIA,1,1,0,,belum-diperiksa,,,,
KAYA ALAM INDUSTRI,1,1,0,,belum-diperiksa,,,,
PRIMA PANCA AGRO,1,1,0,,belum-diperiksa,,,,
PUPUK INDONESIA NIAGA,1,1,0,,belum-diperiksa,,,,
PUTRA KEMBAR BINJAI,1,1,0,,belum-diperiksa,,,,
CV. Agro Santanindo,1,1,0,,belum-diperiksa,,,,
SUMBER SUBUR SEJATI,1,1,0,,belum-diperiksa,,,,
LOTUS AGROKIMIA INDONESIA,1,1,0,,belum-diperiksa,,,,
ELEVASI AGRI INDONESIA,1,1,0,,belum-diperiksa,,,,
PT. Agro Indah Permata,1,1,0,,belum-diperiksa,,,,
DANGIANG SRI,1,1,0,,belum-diperiksa,,,,
KERTO KENCANA ABADI,1,1,0,,belum-diperiksa,,,,
PT HIJAU BUMI INDONESIA,1,1,0,,belum-diperiksa,,,,
PABRIK GULA RAJAWALI II,1,1,0,,belum-diperiksa,,,,
RIZQI SEMESTA,1,1,0,,belum-diperiksa,,,,
MAYANGKARA INDO TANAM,1,1,0,,belum-diperiksa,,,,
CAHAYA AGROLEV KENCANA,1,1,0,,belum-diperiksa,,,,
ALL COSMOS BIOTEK,1,1,0,,belum-diperiksa,,,,
MUTU AGROBIOCHEM NUSANTARA,1,1,0,,belum-diperiksa,,,,
ELIT SOLUSI NIAGA,1,1,0,,belum-diperiksa,,,,
GAHENDRA ABADI JAYA,1,1,0,,belum-diperiksa,,,,
PEKEBUN SWADAYA KELAPA SAWIT LABUHANBATU,1,1,0,,belum-diperiksa,,,,
TAKA SARANA TEKNO,1,1,0,,belum-diperiksa,,,,
BIO AGRO LESTARI INDONESIA,1,1,0,,belum-diperiksa,,,,
MUTIARA BENIH NUSANTARA,1,1,0,,belum-diperiksa,,,,
PETRO BUMI HIJAU GRESIK,1,1,0,,belum-diperiksa,,,,
BARDLIN PRAWARA LOKA,1,1,0,,belum-diperiksa,,,,
TATA TANI INDONESIA,1,1,0,,belum-diperiksa,,,,
SUMBER AGUNG PUTRA JAYA,1,1,0,,belum-diperiksa,,,,
PT. ASIA KIMINDO PRIMA,1,1,0,,belum-diperiksa,,,,
BUMI IMPERIUM INDONESIA,1,1,0,,belum-diperiksa,,,,
PT. REJOSO MANIS INDO,1,1,0,,belum-diperiksa,,,,
GEMOLONG SUCI,1,1,0,,belum-diperiksa,,,,
MAHAMERU ASTANA SRIYA,1,1,0,,belum-diperiksa,,,,
KHARISMA MUTIARA AGRO,1,1,0,,belum-diperiksa,,,,
ABADI AGROSINDO PERSADA,1,1,0,,belum-diperiksa,,,,
BERKAH AUTO SUKSES SEJAHTERA,1,1,0,,belum-diperiksa,,,,
PT SRI REJEKI FERTILIZER,1,1,0,,belum-diperiksa,,,,
PT.Vietindo Agro Lestari,1,1,0,,belum-diperiksa,,,,
SEHAT BUMI SEMESTA,1,1,0,,belum-diperiksa,,,,
CV. BIR ALI JAYA,1,1,0,,belum-diperiksa,,,,
SUMBER MAKMUR AGROINDO,1,1,0,,belum-diperiksa,,,,
PUTRA NUSA,1,1,0,,belum-diperiksa,,,,
KARFOS,1,1,0,,belum-diperiksa,,,,
PT. FORMULA DISTRIBUSI KIMIA,1,1,0,,belum-diperiksa,,,,
PRATAMA BUANA RAYA,1,1,0,,belum-diperiksa,,,,
AGRO NUSANTARA INTERNASIONAL,1,1,0,,belum-diperiksa,,,,
IRSYAM BINA FLORA,1,1,0,,belum-diperiksa,,,,
SHANI PURA,1,1,0,,belum-diperiksa,,,,
AGRO CULTURE,1,1,0,,belum-diperiksa,,,,
MTW LAM BLANG,1,1,0,,belum-diperiksa,,,,
BUNAYYA AGRI,1,1,0,,belum-diperiksa,,,,
BINTANG WARNA,1,1,0,,belum-diperiksa,,,,
PT SASA INTI,1,1,0,,belum-diperiksa,,,,
CV. Bintang Berlian,1,1,0,,belum-diperiksa,,,,
ZPT NATURE INDONESIA,1,1,0,,belum-diperiksa,,,,
SARASWANTI ANUGERAH INDONESIA,1,1,0,,belum-diperiksa,,,,
CV Alam Hijau,1,1,0,,belum-diperiksa,,,,
PUTRA KRUENG JREU,1,1,0,,belum-diperiksa,,,,
JAYA ABADI JAYA,1,1,0,,belum-diperiksa,,,,
PT. BIO MARAJA NUSANTARA,1,1,0,,belum-diperiksa,,,,
BIO AGRO REVOLUTIONARY UTILITY,1,1,0,,belum-diperiksa,,,,
KRT GREEN INDONESIA,1,1,0,,belum-diperiksa,,,,
CV.MITRA FARM MAJU BERSAMA,1,1,0,,belum-diperiksa,,,,
ZEE LORA GLOBAL INTERNASIONAL,1,1,0,,belum-diperiksa,,,,
MEDIA BUANA PERSADA,1,1,0,,belum-diperiksa,,,,
WASKITA INTI NUSANTARA,1,1,0,,belum-diperiksa,,,,
REDSTONE INDONESIA MAKMUR,1,1,0,,belum-diperiksa,,,,
CIBADAK AGRI,1,1,0,,belum-diperiksa,,,,
RAJAWALI BUANA KREASI,1,1,0,,belum-diperiksa,,,,
CV. Flow Utama Nusantara,1,1,0,,belum-diperiksa,,,,
GEMILANG AGRO AGRAMIN,1,1,0,,belum-diperiksa,,,,
SOMPOAN SULAWESI SEJAHTERA,1,1,0,,belum-diperiksa,,,,
BUMI REKAYASA PERSADA,1,1,0,,belum-diperiksa,,,,
PETRO BUMI HIJAU,1,1,0,,belum-diperiksa,,,,
LAWOY BUMI ANUGERAH,1,1,0,,belum-diperiksa,,,,
CAHAYA BUANA ASIA,1,1,0,,belum-diperiksa,,,,
PENTA AGROCHEM MULIA,1,1,0,,belum-diperiksa,,,,
DASTRA KARYA SEMESTA,1,1,0,,belum-diperiksa,,,,
ETHAN GROUP,1,1,0,,belum-diperiksa,,,,
RAJAWALI CITRA ALAM,1,1,0,,belum-diperiksa,,,,
PT. AWAL TIGA MANDIRI,1,1,0,,belum-diperiksa,,,,
BIO SAMURAI JAPKORI,1,1,0,,belum-diperiksa,,,,
SUNAN DRAJAT LAMONGAN,1,1,0,,belum-diperiksa,,,,
CV.TABITA JAYA,1,1,0,,belum-diperiksa,,,,
CEPOGO AGRO LESTARI,1,1,0,,belum-diperiksa,,,,
BERJAYA INTI PERKASA,1,1,0,,belum-diperiksa,,,,
KARYA BIRU INOVASI,1,1,0,,belum-diperiksa,,,,
CV. PARI MAS,1,1,0,,belum-diperiksa,,,,
HAYATI MAKMUR INDONESIA,1,1,0,,belum-diperiksa,,,,
CV. GAZALA SEJAHTERA MADANI,1,1,0,,belum-diperiksa,,,,
CIN KOREA NUSANTARA INDONESIA,1,1,0,,belum-diperiksa,,,,
CV JAYA FARMINDO,1,1,0,,belum-diperiksa,,,,
CV. HMS GLOBAL,1,1,0,,belum-diperiksa,,,,
CV. Cipta Agrifarmerindo,1,1,0,,belum-diperiksa,,,,
WIJAYA SAKTI ABADI AGRIKULTUR,1,1,0,,belum-diperiksa,,,,
PT TRIASINDO ROYAL AGRO,1,1,0,,belum-diperiksa,,,,
SULTAN ISKANDAR MUDA,1,1,0,,belum-diperiksa,,,,
PT. Inovasi Natural Bio Organik,1,1,0,,belum-diperiksa,,,,
BAROKAH TANI JAYA BERSAMA,1,1,0,,belum-diperiksa,,,,
RUHISA PERSADA,1,1,0,,belum-diperiksa,,,,
REZEKI UTAMA JAYA,1,1,0,,belum-diperiksa,,,,
DRAGON DISTRIBUSI INDONESIA,1,1,0,,belum-diperiksa,,,,
DAKSA YEKTI PRATAMA,1,1,0,,belum-diperiksa,,,,
DAVIANDRA NIAGA NUSANTARA,1,1,0,,belum-diperiksa,,,,
AGRIMAS CITRA MANDIRI,1,1,0,,belum-diperiksa,,,,
KARUNIA AGRI UTAMA,1,1,0,,belum-diperiksa,,,,
MATAHARI AGRI BERSAMA,1,1,0,,belum-diperiksa,,,,
PT Agri Timur Mas,1,1,0,,belum-diperiksa,,,,
TIGA UNGGUL SEJAHTERA,1,1,0,,belum-diperiksa,,,,
AL HADID DUA PULUH,1,1,0,,belum-diperiksa,,,,
MAULANA WIJAYA MANDIRI,1,1,0,,belum-diperiksa,,,,
PRODUKSI TERNAK MAJU SEJAHTERA,1,1,0,,belum-diperiksa,,,,
AGRO TANI PERTIWI,1,1,0,,belum-diperiksa,,,,
POLARIS ORBIT INDONESIA,1,1,0,,belum-diperiksa,,,,
NEO SINAR MEDAN,1,1,0,,belum-diperiksa,,,,
INDUSTRI KEBUN NUSANTARA,1,1,0,,belum-diperiksa,,,,
MEKAR TANI SUKSES,1,1,0,,belum-diperiksa,,,,
HIDAYAH AGRO MULYA,1,1,0,,belum-diperiksa,,,,
PT. KK Indonesia,1,1,0,,belum-diperiksa,,,,
PT KREASI SADAWIRA UTAMA,1,1,0,,belum-diperiksa,,,,
GEMA FAJAR NUSANTARA,1,1,0,,belum-diperiksa,,,,
CV. BRISH WATE,1,1,0,,belum-diperiksa,,,,
CV. SABAR BERSAUDARA,1,1,0,,belum-diperiksa,,,,
KAKIMAS PRIMA PERKASA,1,1,0,,belum-diperiksa,,,,
SCORLETS,1,1,0,,belum-diperiksa,,,,
SINAR MAS MALAKA,1,1,0,,belum-diperiksa,,,,
CV.PETRO INTI PERKASA,1,1,0,,belum-diperiksa,,,,
CV. SUMBER USAHA ABADI,1,1,0,,belum-diperiksa,,,,
BIOCHEM INTI GLOBAL,1,1,0,,belum-diperiksa,,,,
PT.SUBUR ALAM SEJAHTERA,1,1,0,,belum-diperiksa,,,,
ZAHRA INDO GREEN FARMERS,1,1,0,,belum-diperiksa,,,,
WASTEX TECHNOLOGY INDONESIA,1,1,0,,belum-diperiksa,,,,
TANI AGRI SUKSES,1,1,0,,belum-diperiksa,,,,
ANUGRAH LESTARI INDONESIA,1,1,0,,belum-diperiksa,,,,
PT. Zamrud Bumi Indonesia,1,1,0,,belum-diperiksa,,,,
BUMI SUBUR KHATULISTIWA,1,1,0,,belum-diperiksa,,,,
UD. KASIHAN JAYA,1,1,0,,belum-diperiksa,,,,
BUMI PARIGI,1,1,0,,belum-diperiksa,,,,
PROFARM FERTILINDO,1,1,0,,belum-diperiksa,,,,
BINA ZHINOFA INDUSTRI,1,1,0,,belum-diperiksa,,,,
AUMA MAJU JAYA,1,1,0,,belum-diperiksa,,,,
ANEKA FLORA INDONESIA,1,1,0,,belum-diperiksa,,,,
AGRO BERKAH MANDIRI JAYA,1,1,0,,belum-diperiksa,,,,
CV ANANTA WINANGUN,1,1,0,,belum-diperiksa,,,,
GAUDY BARCA PUTRA,1,1,0,,belum-diperiksa,,,,
CV TOYOPAMA,1,1,0,,belum-diperiksa,,,,
MULTI HARA AGRO,1,1,0,,belum-diperiksa,,,,
SATRIA GUNUNG SAKTI,1,1,0,,belum-diperiksa,,,,
ZEO BENT AGRO,1,1,0,,belum-diperiksa,,,,
YORIYUSAKIFA YUKI KOMPOS,1,1,0,,belum-diperiksa,,,,
LEMBAH NUSA ALAM,1,1,0,,belum-diperiksa,,,,
SURYA BAHARI PERSADA,1,1,0,,belum-diperiksa,,,,
MAKASSAR AGRO MANDIRI,1,1,0,,belum-diperiksa,,,,
CV. Telsap Utama,1,1,0,,belum-diperiksa,,,,
TERRA BARU INDONESIA,1,1,0,,belum-diperiksa,,,,
PT. Molindo Raya Industrial,1,1,0,,belum-diperiksa,,,,
CIPTA ALAM MUKTI,1,1,0,,belum-diperiksa,,,,
PT. Selaras Alam Sejahtera,1,1,0,,belum-diperiksa,,,,
JEMBATAN MERAH INDAH,1,1,0,,belum-diperiksa,,,,
ASRI JAYA RAYA,1,1,0,,belum-diperiksa,,,,
BAROKAH PRIMA TANI,1,1,0,,belum-diperiksa,,,,
PT. ARTHASIDDHI SUKSES ANUGERAH,1,1,0,,belum-diperiksa,,,,
SEKAR SARI JAYA,1,1,0,,belum-diperiksa,,,,
SUMBER ALAM UNGGUL,1,1,0,,belum-diperiksa,,,,
PT. Sri Dipo Nuswantoro,1,1,0,,belum-diperiksa,,,,
MENARA AGRO PRIMA,1,1,0,,belum-diperiksa,,,,
AGRO MUJIZAT INTEGRASI NUSANTARA,1,1,0,,belum-diperiksa,,,,
CV DUTA LIMAS,1,1,0,,belum-diperiksa,,,,
LENTERA KENCANA ABADI,1,1,0,,belum-diperiksa,,,,
CV. Jaya Tani,1,1,0,,belum-diperiksa,,,,
SAMUDRA PUTRA SEJAHTERA,1,1,0,,belum-diperiksa,,,,
SARI TANI,1,1,0,,belum-diperiksa,,,,
CV REZKI UTAMA MANDIRI,1,1,0,,belum-diperiksa,,,,
BUMI MAKMUR SEJAHTERA LAMONGAN,1,1,0,,belum-diperiksa,,,,
CV. Christdo Titian Jaya,1,1,0,,belum-diperiksa,,,,
BLANG RAYA INDO,1,1,0,,belum-diperiksa,,,,
SINAR BUKIT SIAUR,1,1,0,,belum-diperiksa,,,,
BUMI PERSADA SIDAYU,1,1,0,,belum-diperiksa,,,,
AGRI NUSA TANI,1,1,0,,belum-diperiksa,,,,
ASIA MIKRO PUPUK,1,1,0,,belum-diperiksa,,,,
PUTRA MAKMUR BERJAYA,1,1,0,,belum-diperiksa,,,,
AGRO LESTARI MAKMUR NUSANTARA,1,1,0,,belum-diperiksa,,,,
TRASH FORMER INDONESIA,1,1,0,,belum-diperiksa,,,,
PETERNAKAN MAJU BERSAMA,1,1,0,,belum-diperiksa,,,,
GOLDEN SUMMIT JAYA,1,1,0,,belum-diperiksa,,,,
SUSIANTO TANUDJAJA,1,1,0,,belum-diperiksa,,,,
ARPINDO PERKASA,1,1,0,,belum-diperiksa,,,,
AGROJAYA LESTARI,1,1,0,,belum-diperiksa,,,,
SUWARNI GLOBAL PERSADA,1,1,0,,belum-diperiksa,,,,
CV. JAVA INDAH,1,1,0,,belum-diperiksa,,,,
GHM FARM TECH,1,1,0,,belum-diperiksa,,,,
NAGAMAS ARIF SEJATI,1,1,0,,belum-diperiksa,,,,
SANG HYANG SERI,1,1,0,,belum-diperiksa,,,,
MAHESA PANTURA GRESIK,1,1,0,,belum-diperiksa,,,,
PT. AGRO NIAGA GLOBALINDO,1,1,0,,belum-diperiksa,,,,
FERTILE ECOGREEN INDONESIA,1,1,0,,belum-diperiksa,,,,
BIOMINO INDONESIA PERSADA,1,1,0,,belum-diperiksa,,,,
PT.GEMILANG ANDALAN PRATAMA,1,1,0,,belum-diperiksa,,,,
SARI SUBUR LANGGENG JAYA,1,1,0,,belum-diperiksa,,,,
J.J TIGA PUTRI AGRICA,1,1,0,,belum-diperiksa,,,,
AWM ELITE INTERNATIONAL,1,1,0,,belum-diperiksa,,,,
MEGA KARYA GRESIK,1,1,0,,belum-diperiksa,,,,
KOPERASI PRODUSEN KARYA NUGRAHA JAYA KUNINGAN,1,1,0,,belum-diperiksa,,,,
RIAU TANI BERSATU,1,1,0,,belum-diperiksa,,,,
KEMINDO INTERNATIONAL,1,1,0,,belum-diperiksa,,,,
AGRO UNGGUL JAYAMAKMUR,1,1,0,,belum-diperiksa,,,,
PETROKIMIA GRESIK INDONESIA,1,1,0,,belum-diperiksa,,,,
PT FIRDAUS BERJAYA INDAH,1,1,0,,belum-diperiksa,,,,
FIDEC CIRCLE INDONESIA,1,1,0,,belum-diperiksa,,,,
DUA RODA AGRO TERPADU,1,1,0,,belum-diperiksa,,,,
DJUARA TANI NUSANTARA,1,1,0,,belum-diperiksa,,,,
AGRITAMA PRIMA MANDIRI,1,1,0,,belum-diperiksa,,,,
PUTRA SIHOBON JAYA,1,1,0,,belum-diperiksa,,,,
CV. AGRO BIO MAHLIGAI,1,1,0,,belum-diperiksa,,,,
CV. KIAT AGRO MANDIRI,1,1,0,,belum-diperiksa,,,,
ANUGERAH DOLOMIT INDONESIA,1,1,0,,belum-diperiksa,,,,
HARVANITA AGRO NUSA,1,1,0,,belum-diperiksa,,,,
SAMUDERA ATLANTIK JAYA ABADI,1,1,0,,belum-diperiksa,,,,
SUKSES ABADI TANI INDONESIA,1,1,0,,belum-diperiksa,,,,
ANTASENA TAMBANG MAKMUR,1,1,0,,belum-diperiksa,,,,
MANUVERE EGLORY CHEMAGRI,1,1,0,,belum-diperiksa,,,,
EKARAYA,1,1,0,,belum-diperiksa,,,,
DUA POETRA JAYA AGROLINK,1,1,0,,belum-diperiksa,,,,
BERKAH SUKSES TEKNOLOGI,1,1,0,,belum-diperiksa,,,,
WILMA RAGAM INFOPEN,1,1,0,,belum-diperiksa,,,,
RIAU PRIMA ENERGI,1,1,0,,belum-diperiksa,,,,
DUPA WANGI FERTILINDO,1,1,0,,belum-diperiksa,,,,
SUMBER BERKAH AGRO SANTOSA,1,1,0,,belum-diperiksa,,,,
TERRA AGRO PERSADA,1,1,0,,belum-diperiksa,,,,
CV. Mino Tangguh Mandiri,1,1,0,,belum-diperiksa,,,,
DELTA ANUGRAH SUBUR SEJAHTERA,1,1,0,,belum-diperiksa,,,,
ZHEN TIAN WANG SOUTH EAST ASIA BIOLOGICAL TECHNOLOGY,1,1,0,,belum-diperiksa,,,,
SATYALOKA PARAMA SIDHI,1,1,0,,belum-diperiksa,,,,
BIO POLLEN INDONESIA,1,1,0,,belum-diperiksa,,,,
YUKI MINERALINDO PERSADA,1,1,0,,belum-diperiksa,,,,
WIDAYA AGROKIMIA NUSANTARA,1,1,0,,belum-diperiksa,,,,
INTI MIKRO INDONESIA,1,1,0,,belum-diperiksa,,,,
KENCANA BHUMI SELARAS,1,1,0,,belum-diperiksa,,,,
TRION GENI UTAMA NUSANTARA,1,1,0,,belum-diperiksa,,,,
CV. Anugerah Prima Lestari,1,1,0,,belum-diperiksa,,,,
ARIF FIZAH FERTILIZER,1,1,0,,belum-diperiksa,,,,
AGROSMART,1,1,0,,belum-diperiksa,,,,
HUMUS AGRO LESTARI,1,1,0,,belum-diperiksa,,,,
BASISCROP INDONESIA,1,1,0,,belum-diperiksa,,,,
NIAGA RAYA,1,1,0,,belum-diperiksa,,,,
SANG SURYA INDAH,1,1,0,,belum-diperiksa,,,,
REJEKI INDAH MANDIRI,1,1,0,,belum-diperiksa,,,,
PETROTECH INDO ENGINEERING,1,1,0,,belum-diperiksa,,,,
ALGATROPIA INDONESIA RAYA,1,1,0,,belum-diperiksa,,,,
WIJIMAS AGRI LESTARI,1,1,0,,belum-diperiksa,,,,
PASAROA KREASI ANAK NEGERI,1,1,0,,belum-diperiksa,,,,
EMJ AGRO NUSANTARA,1,1,0,,belum-diperiksa,,,,
GLOBAL ALAM PERKASA GRUP,1,1,0,,belum-diperiksa,,,,
CV. APDIL APDILAH SUPER BUAH,1,1,0,,belum-diperiksa,,,,
CV. INTI TANI MAKMUR,1,1,0,,belum-diperiksa,,,,
KELAPA NUSANTARA GROP,1,1,0,,belum-diperiksa,,,,
PERFEKTA LINTAS SEMESTA,1,1,0,,belum-diperiksa,,,,
PRIMA AGRO ORGANIC,1,1,0,,belum-diperiksa,,,,
EKA TIMUR RAYA,1,1,0,,belum-diperiksa,,,,
GRHA FERRY INDUSTRI,1,1,0,,belum-diperiksa,,,,
SERASI MAHARAYA INDONESIA,1,1,0,,belum-diperiksa,,,,
SEMESTA ALAM INDO,1,1,0,,belum-diperiksa,,,,
ST UNGGUL JAYA,1,1,0,,belum-diperiksa,,,,
AGRANAS KARYA MANDIRI,1,1,0,,belum-diperiksa,,,,
SUBUR PERKASA NUSANTARA,1,1,0,,belum-diperiksa,,,,
PINAGO UTAMA,1,1,0,,belum-diperiksa,,,,
NUSANTARA GREEN LAND,1,1,0,,belum-diperiksa,,,,
CV Agro Niaga Sejati,1,1,0,,belum-diperiksa,,,,
SULTAN AGRO NUSANTARA,1,1,0,,belum-diperiksa,,,,
CV. PUSAKA ALAM,1,1,0,,belum-diperiksa,,,,
PUTRA ABIMANYU UTAMA,1,1,0,,belum-diperiksa,,,,
BORNEO INTECH,1,1,0,,belum-diperiksa,,,,
LIM KOEI HOCK/UD SALIM JAYA,1,1,0,,belum-diperiksa,,,,
KHANSA CITRA BUANA,1,1,0,,belum-diperiksa,,,,
AGRI MAKMUR MEGA PERKASA INDO,1,1,0,,belum-diperiksa,,,,
PT CENTRANUSA INTI PRIMA INDUSTRY,1,1,0,,belum-diperiksa,,,,
SANG SURYA BERSINAR,1,1,0,,belum-diperiksa,,,,
SARANA DAUN HIJAU,1,1,0,,belum-diperiksa,,,,
PT SATYA PADMA AGRISOL,1,1,0,,belum-diperiksa,,,,
PT. HARAKU JAYA SINERGY,1,1,0,,belum-diperiksa,,,,
